City,State,Rank,Population,lat,lon
Tamarac,Florida,553,63155,26.2128609,-80.2497707
Madera,California,554,63105,36.9613356,-120.0607176
Conroe,Texas,555,63032,30.3118769,-95.4560512
Santa Cruz,California,556,62864,36.9741171,-122.0307963
Eden Prairie,Minnesota,557,62603,44.8546856,-93.470786
Cheyenne,Wyoming,558,62448,41.1399814,-104.8202462
Daytona Beach,Florida,559,62316,29.2108147,-81.0228331
Alpharetta,Georgia,560,62298,34.0753762,-84.2940899
Hamilton,Ohio,561,62258,39.3995008,-84.5613355
Waltham,Massachusetts,562,62227,42.3764852,-71.2356113
Coon Rapids,Minnesota,563,62103,45.1732394,-93.3030063
Haverhill,Massachusetts,564,62088,42.7762015,-71.0772796
Council Bluffs,Iowa,565,61969,41.2619444,-95.8608333
Taylor,Michigan,566,61817,42.240872,-83.2696509
Utica,New York,567,61808,43.100903,-75.232664
Ames,Iowa,568,61792,42.034722,-93.62
La Habra,California,569,61653,33.9319578,-117.9461734
Encinitas,California,570,61588,33.0369867,-117.2919818
Bowling Green,Kentucky,571,61488,36.9685219,-86.4808043
Burnsville,Minnesota,572,61434,44.7677424,-93.2777226
Greenville,South Carolina,573,61397,34.8526176,-82.3940104
West Des Moines,Iowa,574,61255,41.5772115,-93.711332
Cedar Park,Texas,575,61238,30.505198,-97.8202888
Tulare,California,576,61170,36.2077288,-119.3473379
Monterey Park,California,577,61085,34.0625106,-118.1228476
Vineland,New Jersey,578,61050,39.4863773,-75.0259637
Terre Haute,Indiana,579,61025,39.4667034,-87.4139092
North Miami,Florida,580,61007,25.8900949,-80.1867138
Mansfield,Texas,581,60872,32.5631924,-97.1416768
West Allis,Wisconsin,582,60697,43.0166806,-88.0070315
Bristol,Connecticut,583,60568,41.6717648,-72.9492703
Taylorsville,Utah,584,60519,40.6677248,-111.9388258
Malden,Massachusetts,585,60509,42.4250964,-71.066163
Meriden,Connecticut,586,60456,41.5381535,-72.8070435
Blaine,Minnesota,587,60407,45.1607987,-93.2349489
Wellington,Florida,588,60202,26.6617635,-80.2683571
Cupertino,California,589,60189,37.3229978,-122.0321823
Springfield,Oregon,590,60177,44.0462362,-123.0220289
Rogers,Arkansas,591,60112,36.3320196,-94.1185366
St. Clair Shores,Michigan,592,60070,42.4974085,-82.8963604
Gardena,California,593,59957,33.8883487,-118.3089624
Pontiac,Michigan,594,59887,42.6389216,-83.2910468
National City,California,595,59834,32.6781085,-117.0991967
Grand Junction,Colorado,596,59778,39.0638705,-108.5506486
Rocklin,California,597,59738,38.7907339,-121.2357828
Chapel Hill,North Carolina,598,59635,35.9131996,-79.0558445
Casper,Wyoming,599,59628,42.866632,-106.313081
Broomfield,Colorado,600,59471,39.9205411,-105.0866504
Petaluma,California,601,59440,38.232417,-122.6366524
South Jordan,Utah,602,59366,40.5621704,-111.929658
Springfield,Ohio,603,59357,39.9242266,-83.8088171
Great Falls,Montana,604,59351,47.4941836,-111.2833449
Lancaster,Pennsylvania,605,59325,40.0378755,-76.3055144
North Port,Florida,606,59212,27.044224,-82.2359254
Lakewood,Washington,607,59097,47.1717649,-122.518458
Marietta,Georgia,608,59089,33.952602,-84.5499327
San Rafael,California,609,58994,37.9735346,-122.5310874
Royal Oak,Michigan,610,58946,42.4894801,-83.1446485
Des Plaines,Illinois,611,58918,42.0333623,-87.8833991
Huntington Park,California,612,58879,33.9816812,-118.2250725
La Mesa,California,613,58642,32.7678287,-117.0230839
Orland Park,Illinois,614,58590,41.6303103,-87.8539425
Auburn,Alabama,615,58582,32.6098566,-85.4807825
Lakeville,Minnesota,616,58562,44.6496868,-93.24272
Owensboro,Kentucky,617,58416,37.7719074,-87.1111676
Moore,Oklahoma,618,58414,35.3395079,-97.4867028
Jupiter,Florida,619,58298,26.9342246,-80.0942087
Idaho Falls,Idaho,620,58292,43.4916514,-112.0339645
Dubuque,Iowa,621,58253,42.5005583,-90.6645718
Bartlett,Tennessee,622,58226,35.2045328,-89.8739753
Rowlett,Texas,623,58043,32.9029017,-96.56388
Novi,Michigan,624,57960,42.48059,-83.4754913
White Plains,New York,625,57866,41.0339862,-73.7629097
Arcadia,California,626,57639,34.1397292,-118.0353449
Redmond,Washington,627,57530,47.6739881,-122.121512
Lake Elsinore,California,628,57525,33.6680772,-117.3272615
Ocala,Florida,629,57468,29.1871986,-82.1400923
Tinley Park,Illinois,630,57282,41.5731442,-87.7932939
Port Orange,Florida,631,57203,29.1383165,-80.9956105
Medford,Massachusetts,632,57170,42.4184296,-71.1061639
Oak Lawn,Illinois,633,57073,41.719978,-87.7479528
Rocky Mount,North Carolina,634,56954,35.9382103,-77.7905339
Kokomo,Indiana,635,56895,40.486427,-86.1336033
Coconut Creek,Florida,636,56792,26.2517482,-80.1789351
Bowie,Maryland,637,56759,39.0067768,-76.7791365
Berwyn,Illinois,638,56758,41.8505874,-87.7936685
Midwest City,Oklahoma,639,56756,35.4495065,-97.3967019
Fountain Valley,California,640,56707,33.7091847,-117.9536697
Buckeye,Arizona,641,56683,33.3703197,-112.5837766
Dearborn Heights,Michigan,642,56620,42.3369816,-83.2732627
Woodland,California,643,56590,38.6785157,-121.7732971
Noblesville,Indiana,644,56540,40.0455917,-86.0085955
Valdosta,Georgia,645,56481,30.8327022,-83.2784851
Diamond Bar,California,646,56449,34.0286226,-117.8103367
Manhattan,Kansas,647,56143,39.1836082,-96.5716694
Santee,California,648,56105,32.8383828,-116.9739167
Taunton,Massachusetts,649,56069,41.900101,-71.0897674
Sanford,Florida,650,56002,28.8028612,-81.269453
Kettering,Ohio,651,55870,39.6895036,-84.1688274
New Brunswick,New Jersey,652,55831,40.4862157,-74.4518188
Decatur,Alabama,653,55816,34.6059253,-86.9833417
Chicopee,Massachusetts,654,55717,42.1487043,-72.6078672
Anderson,Indiana,655,55670,40.1053196,-85.6802541
Margate,Florida,656,55456,26.2445263,-80.206436
Weymouth Town,Massachusetts,657,55419,42.2180724,-70.9410356
Hempstead,New York,658,55361,40.7062128,-73.6187397
Corvallis,Oregon,659,55298,44.5645659,-123.2620435
Eastvale,California,660,55191,33.952463,-117.5848025
Porterville,California,661,55174,36.06523,-119.0167679
West Haven,Connecticut,662,55046,41.2705484,-72.9469711
Brentwood,California,663,55000,37.931868,-121.6957863
Paramount,California,664,54980,33.8894598,-118.1597911
Grand Forks,North Dakota,665,54932,47.9252568,-97.0328547
Georgetown,Texas,666,54898,30.6332618,-97.6779842
